Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,556897312,7144.710096432768,6436435,82.57619697315634,1014731,6356812,81.55467426196695,11245,0.14426764737982162,1844
United States of America,Americas,87880709,26549.851,845566,255.456,207675,1012182,305.793,2543,0.768,819
India,South-East Asia,43689989,3165.931,123250,8.931,20139,525557,38.084,252,0.018,38
Brazil,Americas,33004555,15527.214,394041,185.379,64048,674102,317.136,1673,0.787,344
France,Europe,31729280,48784.737,853404,1312.135,127529,147015,226.04,553,0.85,109
Germany,Europe,29460249,35423.126,599309,720.612,94794,142284,171.083,91,0.109,10
The United Kingdom,Europe,23075360,33991.336,163811,241.303,15859,181580,267.478,490,0.722,0
Italy,Europe,19778911,33163.007,730123,1224.186,111591,169496,284.191,726,1.217,106
Republic of Korea,Western Pacific,18641278,36359.614,189429,369.479,39196,24696,48.169,103,0.201,16
Russian Federation,Europe,18476477,12660.805,24667,16.903,4238,381754,261.593,304,0.208,43
Türkiye,Europe,15297539,18138.141,117095,138.838,0,99088,117.488,31,0.037,0
Spain,Europe,13032841,27534.59,142839,301.777,0,108948,230.175,689,1.456,0
Viet Nam,Western Pacific,10757257,11051.381,6030,6.195,1003,43090,44.268,1,0.001,1
Japan,Western Pacific,9903381,7830.217,406730,321.586,92507,31494,24.901,131,0.104,29
Argentina,Americas,9426171,20856.311,31845,70.46,0,129145,285.746,36,0.08,0
Australia,Western Pacific,8596145,33710.526,284736,1116.617,44179,10437,40.93,306,1.2,52
Netherlands,Europe,8260662,47454.383,43604,250.489,6825,22413,128.754,18,0.103,4
Iran (Islamic Republic of),Eastern Mediterranean,7260017,8643.603,17098,20.356,5000,141456,168.414,43,0.051,5
Mexico,Americas,6301645,4887.544,99845,77.44,10,326189,252.992,157,0.122,0
Colombia,Americas,6198848,12182.578,23667,46.513,0,140202,275.539,132,0.259,0
Indonesia,South-East Asia,6123753,2238.839,20201,7.385,3584,156827,57.336,51,0.019,9
Poland,Europe,6027974,15880.584,8341,21.974,1840,116468,306.833,19,0.05,4
Portugal,Europe,5273740,51221.704,45736,444.215,7391,24381,236.803,120,1.166,10
China,Western Pacific,5180023,352.074,208087,14.143,31627,22481,1.528,624,0.042,52
Ukraine,Europe,5019125,11476.546,0,0,0,108671,248.483,0,0,0
Austria,Europe,4606092,51747.656,76220,856.302,14580,20156,226.445,49,0.55,0
Malaysia,Western Pacific,4604670,14226.874,22368,69.11,3934,35828,110.696,36,0.111,9
Thailand,South-East Asia,4553181,6523.184,14370,20.587,2257,30935,44.319,157,0.225,28
Israel,Europe,4484919,51815.583,64969,750.606,8252,11101,128.253,21,0.243,0
Belgium,Europe,4320107,37492.988,22290,193.449,0,32015,277.849,37,0.321,0
Chile,Americas,4103590,21466.556,58979,308.529,8494,58884,308.032,235,1.229,6
South Africa,Africa,3998466,6741.788,1562,2.634,0,101895,171.805,27,0.046,0
Canada,Americas,3953490,10474.998,21317,56.481,0,41932,111.101,127,0.336,0
Czechia,Europe,3947772,36915.976,10100,94.446,1984,40343,377.251,10,0.094,0
